w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,ft
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.332075472
0.42,51.41,5.5,1114.15,14.23,1.92,12.85,20,0,0,0,45.68,60,3.490566038
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.029245283
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.085534591
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.266037736
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.297484277
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.328930818
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,14,2.085534591
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,3.428647799
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,2.995283019
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,2.023386792
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,3.72
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,3.176572327
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,28,1.981622642
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.459119497
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.301886792
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.355974843
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.333333333
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.372955975
0.44,44.98,5.5,1114.15,14.23,1.92,19.27,30,0,0,0,45.68,60,3.333333333
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,2.897012579
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,2.919613208
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,2.744201258
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,1.940349057
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,2.248427673
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,14,1.584119497
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,3.181509434
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,1.840720126
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,3.418207547
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,2.279062893
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,3.558899371
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,3.035622642
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,3.008176101
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,3.098427673
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,3.05754717
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,3.018867925
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,2.985849057
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,3.081761006
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,2.055
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,1.673584906
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,2.291122642
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,2.064578616
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,2.358713836
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,2.043578616
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,2.958430818
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,2.831169811
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,2.708823899
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,1.89072327
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,2.967767296
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,2.655757862
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,2.987421384
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,3.148427673
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,3.089308176
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,3.05
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,3.144654088
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,3.077358491
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.250628931
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.358490566
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.358490566
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.295597484
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.201257862
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,2.309748428
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,2.857704403
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,3.018867925
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,2.767295597
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,2.830188679
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,2.735849057
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,2.893081761
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.081761006
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.341194969
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.144654088
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.127987421
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.246855346
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,3.148113208
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.6
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.7
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,2.5
