w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,ft
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,21.65,1.840720126
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,24.19,3.418207547
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,24.19,2.279062893
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,24.83,3.558899371
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,28,24.83,3.035622642
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,3.008176101
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,3.098427673
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,3.05754717
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,3.018867925
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,25.46,2.985849057
0.44,38.55,5.5,1114.15,14.23,1.92,25.7,40,0,0,0,45.68,60,25.46,3.081761006
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,15.34,2.055
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,12.78,1.673584906
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,19.52,2.291122642
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,10.84,2.064578616
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,18.92,2.358713836
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,14,18.63,2.043578616
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,20.37,2.958430818
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,21.65,2.831169811
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,21.39,2.708823899
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,20.37,1.89072327
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,21.01,2.967767296
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,28,21.01,2.655757862
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,2.987421384
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,3.148427673
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,25.46,3.089308176
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,25.46,3.05
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,24.83,3.144654088
0.43,32.13,5.5,1114.15,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,3.077358491
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.83,2.250628931
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,16.55,2.358490566
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.19,2.358490566
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.7,2.295597484
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.19,2.201257862
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.06,2.309748428
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,19.1,2.857704403
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,22.92,3.018867925
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,2.767295597
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,2.830188679
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,20.37,2.735849057
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,2.893081761
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.46,3.081761006
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,3.341194969
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,26.1,3.144654088
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,3.127987421
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,3.246855346
0.4,57.83,5.5,1114.15,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,3.148113208
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,20.37,2.6
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,22.28,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,22.92,2.7
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,21.65,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,21.01,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,14,20.37,2.5
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,2.86
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,31.83,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,28.65,2.8
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,2.8
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,28.65,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,28,25.46,3
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.91,4.622138365
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.16,3.190345912
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.41,2.268081761
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.65,4.040377358
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,35.65,4.071823899
0.41,51.41,5.5,1114.15,14.23,1.92,12.85,20,56.84,4.56,10,41.12,60,36.29,3.258144654
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,20.37,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,21.65,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,22.28,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,19.1,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,21.65,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,14,22.28,2
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,1.911849057
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.17,2.774172956
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,2.576157233
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,22.79,2.269062893
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,24.19,2.741745283
0.42,44.98,5.5,1114.15,14.23,1.92,19.27,30,56.84,4.56,10,41.12,28,23.55,2.136889937
