w_c,nca,cca_fine_mod,cca_dens,cca_abs_cap ,cca_spec_gr,cca,cca_rep_perc,cfa_mean_part_size,cfa_nfa,cfa_rep_perc, nfa_nfa,age,fc,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,28.65,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,25.46,,,,
0.44,38.55,5.50,1114.147,14.23,1.92,25.7,40,0,0,0,45.68,60,25.46,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,15.34,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,12.78,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,19.52,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,10.84,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,18.92,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,14,18.63,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,20.37,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,21.65,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,21.39,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,20.37,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,21.01,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,28,21.01,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,25.46,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,25.46,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,24.83,,,,
0.43,32.13,5.50,1114.147,14.23,1.92,32.13,50,0,0,0,45.68,60,24.19,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.83,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,16.55,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.19,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.70,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.19,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,14,17.06,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,19.10,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,22.92,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,20.37,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,28,25.46,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.46,,,,
0.40,57.83,5.50,1114.147,14.23,1.92,6.42,10,56.84,4.56,10,41.12,60,25.59,,,,
